id,disruptionDiscrepancy,notes
Sun_2020-09-16_FLIPPING-FLOPPIES-Top,0.966257668711656,"Article about police complaining of protesters going floppy. Claude says almost whole article is disruption content, Vanessa says none. I agree with Claude because it’s about consequences for police."
The-Guardian_2020-09-16_Extinction-Rebellion-_go,0.905555555555556,"See Sun_2020-09-16_FLIPPING-FLOPPIES-Top, same issue"
The-Guardian_2022-04-08_Extinction-Rebellion-vows,0.875,"Article about planned major disruption of London roads. Claude says almost whole article is disruption content, Vanessa says none. I agree with Claude and this is a very mystifying mistake, maybe because it’s a future protest?"
Daily-Mail_2022-03-21_Premier-League-clubs,0.807692307692308,Article about Premier League recommending safety measures to clubs after protest incident. Vanessa codes only the sentences about the protest incident. Claude codes whole article. Claude is right.
The-Guardian_2021-05-20_You-can_t-block,0.764705882352941,"Same issue as The-Guardian_2022-04-08_Extinction-Rebellion-vows: future protest, Vanessa codes as no disruption"
The-Guardian_2021-08-25_Extinction-Rebellion-protesters,0.750741839762611,"Blockade of Oxford Circus. Vanessa codes as no disruption attention—possibly because none of it is about the conquences of disruption, just the disruption itself."
Sky_2022-04-12_Extinction-Rebellion-protesters,0.718826405867971,Same issue as The-Guardian_2021-08-25_Extinction-Rebellion-protesters
Daily-Mail_2020-09-04_Officers-policing-Extinction,0.697860962566845,Vanessa only codes some sentences about actual protest activity. Claude codes everything about police interventions/consequences for police functioning. Claude is right.
The-Guardian_2021-07-16_Six-Extinction-Rebellion,0.629508196721312,Court case about past protest. Claude codes all description of disruption at the time. Vanessa codes no disruption. Claude is mostly right but a bit too liberal in including the judge’s comments about police judgment and independence from Priti Patel.
The-Times_2020-09-07_Squat-mother-in,0.626740947075209,Court case about past protest. Claude codes all description of disruption at the time. Vanessa codes no disruption. Claude is mostly right but a bit too liberal in including the content of the judgment (which is arguably an effect of disruption for the protester—this could be clarified in instructions).
